Study,Study_Type,Variable_A,Variable_B,Feedback,Attributions,Feedback_Type,Attribution_Type,Setting,Condition,Design,Score_type,Point_Transformation,N,Cohens_d,Hedges_g,r_effect,Fisher_z,SE_z,VI_z,CI_lower_z,CI_upper_z,CI_lower_r,CI_upper_r
Schunk (1984b),Experimental,Feedback,Attributions,Effort_Effort,Success_Ability,Attributional,Adaptive,Individual,Effort_Effort,within_groups,change_scores,cohen_d_to_fisher_z,10,1.268388676,1.159669647,0.800789711,1.10080979,0.377964473,0.142857143,0.360013036,1.841606545,0.345225516,0.950949118
Schunk (1984b),Experimental,Feedback,Attributions,Ability_Ability,Success_Effort,Attributional,Adaptive,Individual,Ability_Ability,within_groups,change_scores,cohen_d_to_fisher_z,10,-0.550899389,-0.503679441,-0.502170299,-0.552204078,0.377964473,0.142857143,-1.293000832,0.188592677,-0.859910438,0.186388131
Schunk (1984b),Experimental,Feedback,Attributions,Ability_Effort,Success_Effort,Attributional,Adaptive,Individual,Ability_Effort,within_groups,change_scores,cohen_d_to_fisher_z,10,-0.309163368,-0.282663651,-0.309848583,-0.320377903,0.377964473,0.142857143,-1.061174657,0.420418852,-0.786113024,0.397283233
Schunk (1984b),Experimental,Feedback,Attributions,Effort_Ability,Success_Effort,Attributional,Adaptive,Individual,Effort_Ability,within_groups,change_scores,cohen_d_to_fisher_z,10,-0.4043729,-0.369712365,-0.392111639,-0.414292895,0.377964473,0.142857143,-1.15508965,0.32650386,-0.819433165,0.31537585
Schunk (1984b),Experimental,Feedback,Attributions,Effort_Effort,Success_Effort,Attributional,Adaptive,Individual,Effort_Effort,within_groups,change_scores,cohen_d_to_fisher_z,10,-0.083466755,-0.076312462,-0.087643126,-0.087868571,0.377964473,0.142857143,-0.828665325,0.652928184,-0.679758698,0.5736379
Schunk (1984b),Experimental,Feedback,Attributions,Ability_Ability,Success_Luck,Attributional,Maladaptive,Individual,Ability_Ability,within_groups,change_scores,cohen_d_to_fisher_z,10,-1.462378038,-1.337031349,-0.83893149,-1.217555085,0.377964473,0.142857143,-1.958351839,-0.47675833,-0.960963866,-0.443643713
Schunk (1984b),Experimental,Feedback,Attributions,Ability_Effort,Success_Luck,Attributional,Maladaptive,Individual,Ability_Effort,within_groups,change_scores,cohen_d_to_fisher_z,10,-1.807466365,-1.652540677,-0.885445589,-1.400434774,0.377964473,0.142857143,-2.141231528,-0.659638019,-0.972758944,-0.578122466
Schunk (1984b),Experimental,Feedback,Attributions,Effort_Ability,Success_Luck,Attributional,Maladaptive,Individual,Effort_Ability,within_groups,change_scores,cohen_d_to_fisher_z,10,-1.267266749,-1.158643885,-0.800535394,-1.100101267,0.377964473,0.142857143,-1.840898022,-0.359304513,-0.950881269,-0.344601283
Schunk (1984b),Experimental,Feedback,Attributions,Effort_Effort,Success_Luck,Attributional,Maladaptive,Individual,Effort_Effort,within_groups,change_scores,cohen_d_to_fisher_z,10,-1.808237326,-1.653245556,-0.885527122,-1.400812391,0.377964473,0.142857143,-2.141609146,-0.660015636,-0.972779229,-0.578373819
Schunk (1984b),Experimental,Feedback,Attributions,Ability_Ability,Success_Task_Ease,Attributional,Maladaptive,Individual,Ability_Ability,within_groups,change_scores,cohen_d_to_fisher_z,10,1.358906671,1.242428956,0.819954514,1.156678635,0.377964473,0.142857143,0.415881881,1.89747539,0.393455477,0.956020804
Schunk (1984b),Experimental,Feedback,Attributions,Ability_Effort,Success_Task_Ease,Attributional,Maladaptive,Individual,Ability_Effort,within_groups,change_scores,cohen_d_to_fisher_z,10,0.589867569,0.539307492,0.528028075,0.58740692,0.377964473,0.142857143,-0.153389834,1.328203675,-0.152198042,0.868809615
Schunk (1984b),Experimental,Feedback,Attributions,Effort_Ability,Success_Task_Ease,Attributional,Maladaptive,Individual,Effort_Ability,within_groups,change_scores,cohen_d_to_fisher_z,10,0.474882796,0.434178556,0.447621614,0.481721965,0.377964473,0.142857143,-0.259074789,1.22251872,-0.253429948,0.84039558
Schunk (1984b),Experimental,Feedback,Attributions,Effort_Effort,Success_Task_Ease,Attributional,Maladaptive,Individual,Effort_Effort,within_groups,change_scores,cohen_d_to_fisher_z,10,0.26752656,0.244595712,0.271412443,0.278387958,0.377964473,0.142857143,-0.462408797,1.019184712,-0.432045412,0.769534256
Schunk (1984b),Experimental,Feedback,Self-Efficacy,Ability_Ability,,Attributional,,Individual,Ability_Ability,within_groups,change_scores,cohen_d_to_fisher_z,10,5.289409878,4.836031889,0.984293784,2.419480884,0.377964473,0.142857143,1.678684129,3.160277638,0.932690584,0.996408572
Schunk (1984b),Experimental,Feedback,Self-Efficacy,Ability_Effort,,Attributional,,Individual,Ability_Effort,within_groups,change_scores,cohen_d_to_fisher_z,10,4.886037916,4.467234667,0.981667287,2.341503385,0.377964473,0.142857143,1.600706631,3.08230014,0.921774852,0.995803706
Schunk (1984b),Experimental,Feedback,Self-Efficacy,Effort_Ability,,Attributional,,Individual,Effort_Ability,within_groups,change_scores,cohen_d_to_fisher_z,10,2.37143939,2.168173156,0.928462171,1.64712589,0.377964473,0.142857143,0.906329135,2.387922644,0.719365687,0.983279064
Schunk (1984b),Experimental,Feedback,Self-Efficacy,Effort_Effort,,Attributional,,Individual,Effort_Effort,within_groups,change_scores,cohen_d_to_fisher_z,10,4.093580926,3.742702561,0.974181648,2.16841183,0.377964473,0.142857143,1.427615075,2.909208584,0.891176814,0.994073005
Schunk & Cox (1986),Experimental,Feedback,Attributions,Effort_Performance,Success_Ability,Attributional,Adaptive,Individual,Effort_Performance,between_groups,change_scores,cohen_d_to_fisher_z,60,0.23599595,0.232931068,0.117184981,0.117725852,0.132453236,0.01754386,-0.14187772,0.377329424,-0.140933357,0.36038598
Schunk & Cox (1986),Experimental,Feedback,Attributions,Performance_Effort,Success_Ability,Attributional,Adaptive,Individual,Performance_Effort,between_groups,change_scores,cohen_d_to_fisher_z,60,0.235869394,0.232806155,0.117123001,0.11766301,0.132453236,0.01754386,-0.141940562,0.377266581,-0.14099495,0.360331299
Schunk & Cox (1986),Experimental,Feedback,Attributions,Effort_Performance,Success_Effort,Attributional,Adaptive,Individual,Effort_Performance,between_groups,change_scores,cohen_d_to_fisher_z,60,1.033413483,1.019992529,0.459048153,0.496104642,0.132453236,0.01754386,0.236501071,0.755708214,0.232188153,0.638542053
Schunk & Cox (1986),Experimental,Feedback,Attributions,Performance_Effort,Success_Effort,Attributional,Adaptive,Individual,Performance_Effort,between_groups,change_scores,cohen_d_to_fisher_z,60,0.353889831,0.349293859,0.174238281,0.176034344,0.132453236,0.01754386,-0.083569227,0.435637916,-0.083375225,0.410022205
Schunk & Cox (1986),Experimental,Feedback,Attributions,Effort_Performance,Success_Luck,Attributional,Maladaptive,Individual,Effort_Performance,between_groups,change_scores,cohen_d_to_fisher_z,60,-0.818895237,-0.808260234,-0.378915612,-0.398792859,0.132453236,0.01754386,-0.658396431,-0.139189288,-0.577295255,-0.138297331
Schunk & Cox (1986),Experimental,Feedback,Attributions,Performance_Effort,Success_Luck,Attributional,Maladaptive,Individual,Performance_Effort,between_groups,change_scores,cohen_d_to_fisher_z,60,-0.920971133,-0.909010469,-0.418269598,-0.445592851,0.132453236,0.01754386,-0.705196423,-0.185989279,-0.607655796,-0.183873963
Schunk & Cox (1986),Experimental,Feedback,Attributions,Effort_Performance,Success_Task_Ease,Attributional,Maladaptive,Individual,Effort_Performance,between_groups,change_scores,cohen_d_to_fisher_z,60,-0.306491837,-0.302511424,-0.151477567,-0.152652358,0.132453236,0.01754386,-0.412255929,0.106951214,-0.390386485,0.106545282
Schunk & Cox (1986),Experimental,Feedback,Attributions,Performance_Effort,Success_Task_Ease,Attributional,Maladaptive,Individual,Performance_Effort,between_groups,change_scores,cohen_d_to_fisher_z,60,-0.434790414,-0.429143785,-0.212433286,-0.215718258,0.132453236,0.01754386,-0.475321829,0.043885314,-0.442489209,0.043857162
Schunk & Cox (1986),Experimental,Feedback,Self-Efficacy,Effort_Performance,,Attributional,,Individual,Effort_Performance,between_groups,change_scores,cohen_d_to_fisher_z,60,0.819731651,0.809085786,0.379246994,0.399179853,0.132453236,0.01754386,0.139576281,0.658783425,0.138676902,0.577553218
Schunk & Cox (1986),Experimental,Feedback,Self-Efficacy,Performance_Effort,,Attributional,,Individual,Performance_Effort,between_groups,change_scores,cohen_d_to_fisher_z,60,0.665403051,0.656761453,0.315688166,0.326850708,0.132453236,0.01754386,0.067247136,0.586454279,0.067145951,0.527340698
Craven et al. (1991),Experimental,Feedback,Attributions,Internally_Focus+Attributional,Failure_Ability,Attributional,Maladaptive,Small_Groups,Researcher,between_groups,post,cohen_d_to_fisher_z,106,-0.174812397,-0.173548693,-0.087074214,-0.087295284,0.098532928,0.009708738,-0.280416274,0.105825706,-0.273290308,0.105432417
Craven et al. (1991),Experimental,Feedback,Attributions,Internally_Focus+Attributional,Failure_Ability,Attributional,Maladaptive,Classroom,Teacher,between_groups,post,cohen_d_to_fisher_z,106,0.010460457,0.010384839,0.005230157,0.005230205,0.098532928,0.009708738,-0.187890785,0.198351194,-0.185710535,0.195790233
Craven et al. (1991),Experimental,Feedback,Attributions,Internally_Focus+Attributional,Failure_Ability,Attributional,Maladaptive,Classroom,Teacher_Researcher,between_groups,post,cohen_d_to_fisher_z,106,-0.209209141,-0.207696786,-0.104036927,-0.104414738,0.098532928,0.009708738,-0.297535728,0.088706252,-0.28905585,0.088474311
Craven et al. (1991),Experimental,Feedback,Attributions,Internally_Focus+Attributional,Failure_Effort,Attributional,Adaptive,Small_Groups,Researcher,between_groups,post,cohen_d_to_fisher_z,106,-0.344888597,-0.342395427,-0.16993611,-0.171600873,0.098532928,0.009708738,-0.364721863,0.021520117,-0.349366381,0.021516795
Craven et al. (1991),Experimental,Feedback,Attributions,Internally_Focus+Attributional,Failure_Effort,Attributional,Adaptive,Classroom,Teacher,between_groups,post,cohen_d_to_fisher_z,106,-0.097756813,-0.097050137,-0.048820123,-0.048858965,0.098532928,0.009708738,-0.241979955,0.144262025,-0.237365025,0.143269515
Craven et al. (1991),Experimental,Feedback,Attributions,Internally_Focus+Attributional,Failure_Effort,Attributional,Adaptive,Classroom,Teacher_Researcher,between_groups,post,cohen_d_to_fisher_z,106,-0.298837784,-0.296677511,-0.147778348,-0.148868417,0.098532928,0.009708738,-0.341989407,0.044252573,-0.329252296,0.044223709
Craven et al. (1991),Experimental,Feedback,Attributions,Internally_Focus+Attributional,Failure_External,Attributional,Maladaptive,Small_Groups,Researcher,between_groups,post,cohen_d_to_fisher_z,106,-0.551857019,-0.547867691,-0.265988515,-0.272541928,0.098532928,0.009708738,-0.465662918,-0.079420938,-0.434688383,-0.079254371
Craven et al. (1991),Experimental,Feedback,Attributions,Internally_Focus+Attributional,Failure_External,Attributional,Maladaptive,Classroom,Teacher,between_groups,post,cohen_d_to_fisher_z,106,-0.287563273,-0.285484503,-0.14231808,-0.143290786,0.098532928,0.009708738,-0.336411776,0.049830204,-0.324270222,0.049789001
Craven et al. (1991),Experimental,Feedback,Attributions,Internally_Focus+Attributional,Failure_External,Attributional,Maladaptive,Classroom,Teacher_Researcher,between_groups,post,cohen_d_to_fisher_z,106,-0.417374324,-0.41435716,-0.204286201,-0.207201367,0.098532928,0.009708738,-0.400322357,-0.014080377,-0.38022475,-0.014079447
Craven et al. (1991),Experimental,Feedback,Attributions,Internally_Focus+Attributional,Success_Ability,Attributional,Adaptive,Small_Groups,Researcher,between_groups,post,cohen_d_to_fisher_z,106,0.359677078,0.357077003,0.176999072,0.178882995,0.098532928,0.009708738,-0.014237995,0.372003985,-0.014237033,0.355743333
Craven et al. (1991),Experimental,Feedback,Attributions,Internally_Focus+Attributional,Success_Ability,Attributional,Adaptive,Classroom,Teacher,between_groups,post,cohen_d_to_fisher_z,106,-0.17390298,-0.17264585,-0.086624641,-0.086842294,0.098532928,0.009708738,-0.279963284,0.106278696,-0.272871099,0.10588035
Craven et al. (1991),Experimental,Feedback,Attributions,Internally_Focus+Attributional,Success_Ability,Attributional,Adaptive,Classroom,Teacher_Researcher,between_groups,post,cohen_d_to_fisher_z,106,0.142373699,0.141344492,0.07100716,0.071126862,0.098532928,0.009708738,-0.121994127,0.264247852,-0.121392513,0.258264381
Craven et al. (1991),Experimental,Feedback,Attributions,Internally_Focus+Attributional,Success_Effort,Attributional,Adaptive,Small_Groups,Researcher,between_groups,post,cohen_d_to_fisher_z,106,0.458869166,0.455552039,0.223624251,0.227467908,0.098532928,0.009708738,0.034346918,0.420588898,0.034333418,0.397426431
Craven et al. (1991),Experimental,Feedback,Attributions,Internally_Focus+Attributional,Success_Effort,Attributional,Adaptive,Classroom,Teacher,between_groups,post,cohen_d_to_fisher_z,106,-0.121488581,-0.12061035,-0.06063253,-0.060706996,0.098532928,0.009708738,-0.253827986,0.132413994,-0.248513638,0.131645491
Craven et al. (1991),Experimental,Feedback,Attributions,Internally_Focus+Attributional,Success_Effort,Attributional,Adaptive,Classroom,Teacher_Researcher,between_groups,post,cohen_d_to_fisher_z,106,0.332392155,0.32998932,0.163947295,0.165440346,0.098532928,0.009708738,-0.027680644,0.358561336,-0.027673576,0.343946191
Craven et al. (1991),Experimental,Feedback,Attributions,Internally_Focus+Attributional,Success_External,Attributional,Maladaptive,Small_Groups,Researcher,between_groups,post,cohen_d_to_fisher_z,106,-0.101187057,-0.100455584,-0.0505289,-0.050571969,0.098532928,0.009708738,-0.243692959,0.142549021,-0.238980857,0.141591262
Craven et al. (1991),Experimental,Feedback,Attributions,Internally_Focus+Attributional,Success_External,Attributional,Maladaptive,Classroom,Teacher,between_groups,post,cohen_d_to_fisher_z,106,-0.020566164,-0.020417493,-0.010282539,-0.010282901,0.098532928,0.009708738,-0.203403891,0.182838089,-0.200644397,0.180827558
Craven et al. (1991),Experimental,Feedback,Attributions,Internally_Focus+Attributional,Success_External,Attributional,Maladaptive,Classroom,Teacher_Researcher,between_groups,post,cohen_d_to_fisher_z,106,0.321847847,0.319521236,0.158879855,0.160237333,0.098532928,0.009708738,-0.032883656,0.353358323,-0.032871809,0.339350506
"Koenka, 2022",Experimental,Feedback,Self-Efficacy,Grades_Written_Comments,,Performance,,Classroom,Grades_Written_Comments,between_groups,change_scores,cohen_d_to_fisher_z,91,-0.39619664,-0.392848499,-0.194322124,-0.19682502,0.106600358,0.011363636,-0.405757882,0.012107843,-0.384864821,0.012107252
"Koenka, 2022",Experimental,Feedback,Self-Efficacy,Written_Comments,,Performance,,Classroom,Written_Comments,between_groups,change_scores,cohen_d_to_fisher_z,57,0.016251679,0.016029053,0.008125571,0.00812575,0.136082763,0.018518519,-0.258591565,0.274843065,-0.252977705,0.268125536
Rakoczy et al. (2017),Experimental,Feedback,Self-Efficacy,Written_Process_Feedback,,Formative,,Classroom,Written_Process_Feedback,between_groups,change_scores,cohen_d_to_fisher_z,620,0.370654627,0.370204622,0.182224374,0.184282501,0.040258484,0.001620746,0.105377322,0.26318768,0.104988997,0.257274652
Koponen et al. (2021),Experimental,Feedback,Self-Efficacy,Self-Efficacy,,Self-Efficacy,,Small_Groups,Self-Efficacy+Skill,between_groups,change_scores,cohen_d_to_fisher_z,79,0.6428735,0.636591349,0.306016238,0.31614409,0.114707867,0.013157895,0.091320802,0.540967378,0.09106779,0.493719886
Koponen et al. (2021),Experimental,Feedback,Self-Efficacy,Self-Efficacy,,Self-Efficacy,,Small_Groups,Self-Efficacy+Skill_low,between_groups,change_scores,cohen_d_to_fisher_z,25,0.818271575,0.791295589,0.378668427,0.398504265,0.213200716,0.045454545,-0.01936146,0.816369991,-0.019359041,0.673089286
Schunk (1982),Experimental,Feedback,Self-Efficacy,Attributions_Past,,Attributional,,Individual,Attributions_Past+Monitoring,between_groups,change_scores,cohen_d_to_fisher_z,20,3.890546492,3.726157204,0.889367047,1.418889583,0.242535625,0.058823529,0.943528493,1.894250673,0.736839211,0.955742543
Schunk (1982),Experimental,Feedback,Self-Efficacy,Attributions_Future,,Attributional,,Individual,Attributions_Future+Monitoring,between_groups,change_scores,cohen_d_to_fisher_z,20,0.208682503,0.199864933,0.103777861,0.104152844,0.242535625,0.058823529,-0.371208246,0.579513934,-0.3550481,0.522312057
Schunk (1983),Experimental,Feedback,Self-Efficacy,Ability,,Attributional,,Individual,Ability,between_groups,change_scores,cohen_d_to_fisher_z,22,3.514375524,3.380918225,0.869116897,1.329458384,0.229415734,0.052631579,0.879811808,1.77910496,0.706325029,0.944598811
Schunk (1983),Experimental,Feedback,Self-Efficacy,Effort,,Attributional,,Individual,Effort,between_groups,change_scores,cohen_d_to_fisher_z,22,1.605882197,1.544899329,0.626092411,0.734963221,0.229415734,0.052631579,0.285316645,1.184609797,0.277818581,0.828899656
Schunk (1983),Experimental,Feedback,Self-Efficacy,Ability_Effort,,Attributional,,Individual,Ability_Effort,between_groups,change_scores,cohen_d_to_fisher_z,22,1.236096025,1.18915567,0.525739744,0.584239208,0.229415734,0.052631579,0.134592632,1.033885784,0.133785755,0.775462115
Schunk (1981),Experimental,Feedback,Self-Efficacy,Effort,,Attributional,,Individual,Cognitive_Modeling_Effort,between_groups,change_scores,cohen_d_to_fisher_z,20,1.35812209,1.300736649,0.561778733,0.635428353,0.242535625,0.058823529,0.160067263,1.110789443,0.158714074,0.80434127
Schunk (1981),Experimental,Feedback,Self-Efficacy,Effort,,Attributional,,Individual,Didactic_Effort,between_groups,change_scores,cohen_d_to_fisher_z,20,1.423251887,1.363114483,0.57980234,0.662164899,0.242535625,0.058823529,0.186803809,1.137525989,0.184660835,0.81357934
